nichei,fiti,nichef,fitf,mu1,mu2,k1,w,h2,theta,sigma,ext.time,f.ext
136,0.929901132416498,-2.14480092768829,0.999082095041772,-0.395408093651317,-1.2061096,-0.6030548,0.223478024458045,1,0.4,1.507637,1,8,0.001
137,0.84914691109614,-1.64905224891326,0.997889854471054,-0.397902519485326,-1.2061096,-0.3015274,0.223478024458045,1,0.4,1.507637,1,8,0.001
138,0.747734320087369,-1.53108722634033,0.996316221215957,-0.400651371711939,-1.2061096,0,0.223478024458045,1,0.4,1.507637,1,8,0.001
139,0.634936389751631,-1.64905224891326,0.994548378818971,-0.403154780714796,-1.2061096,0.3015274,0.223478024458045,1,0.4,1.507637,1,8,0.001
140,0.51991403924883,-2.14480092768829,0.992786415995122,-0.404999921391886,-1.2061096,0.6030548,0.223478024458045,1,0.4,1.507637,1,8,0.001
141,0.410536045326947,-4.29857761363715,0.991196131065648,-0.405954332467386,-1.2061096,0.9045822,0.223478024458045,1,0.4,1.507637,1,8,0.001
142,0.312600355146573,10.5913118318303,0.989890345940567,-0.405980875068882,-1.2061096,1.2061096,0.223478024458045,1,0.4,1.507637,1,8,0.001
143,0.229533491403013,1.94207726899065,0.996240240998299,-0.393982401740878,-1.2061096,1.507637,0.223478024458045,1,0.4,1.507637,1,10,0.001
144,0.929901132416498,1.3071707516055,0.99978875407189,-0.387773404746685,-0.9045822,-1.507637,0.223478024458045,1,0.4,1.507637,1,10,0.001
145,0.981994696007202,7.12878589784294,0.999818677171224,-0.390112089202745,-0.9045822,-1.2061096,0.223478024458045,1,0.4,1.507637,1,8,0.001
146,0.999999840095998,-2.89328082861143,0.999999805683625,-0.39018945883056,-0.9045822,-0.9045822,0.223478024458045,1,0.4,1.507637,1,8,0.001
147,0.981994696007202,-1.44361971866732,0.999765673919242,-0.391058301465053,-0.9045822,-0.6030548,0.223478024458045,1,0.4,1.507637,1,8,0.001
148,0.929901132416498,-1.10994186589137,0.999039834945859,-0.392673754103562,-0.9045822,-0.3015274,0.223478024458045,1,0.4,1.507637,1,8,0.001
149,0.84914691109614,-1.03054212743505,0.99786467191989,-0.394775653690117,-0.9045822,0,0.223478024458045,1,0.4,1.507637,1,8,0.001
150,0.747734320087369,-1.10994186589137,0.996389150711953,-0.396947283624243,-0.9045822,0.3015274,0.223478024458045,1,0.4,1.507637,1,8,0.001
151,0.634936389751631,-1.44361971866733,0.994810485864999,-0.398768163102409,-0.9045822,0.6030548,0.223478024458045,1,0.4,1.507637,1,8,0.001
152,0.51991403924883,-2.89328082861143,0.993312436918022,-0.399951775670642,-0.9045822,0.9045822,0.223478024458045,1,0.4,1.507637,1,8,0.001
